--- WORKSHEET: 01_Business_Scenario ---

Field,Value,Value2,Value3
WINAIM Compliance Work Definition Workbook,,,
"Synthetic seed dataset for Compliance Traceability Network (CTN), Knowledge Graph, AI reasoning, and 52-week operational calendar",,,
,,,
SYNTHETIC DATA DISCLAIMER,,,
"All regulatory authorities, regulation names, clause numbers, standard citations, insurance clauses, and vendor details in this workbook are ILLUSTRATIVE AND SYNTHETIC. They are not real regulatory guidance and have not been independently verified. This dataset is a structural seed for compliance workflow, knowledge-graph, and calendar systems only, and must not be used as, or substituted for, verified regulatory research, legal advice, actual insurance policy wording, or a real compliance determination.",,,
,,,
Business Domain,Industrial Parks & Warehouse Chain (3PL / Built-to-Suit Logistics Real Estate),,
Business Scenario,"Multi-country network of Industrial Parks each hosting one or more grade-A warehouses, covering EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, and Waste Management",,
Company,Vantage Industrial Parks & Logistics REIT,,
Network Scale,"20 Industrial Park locations (10 India, 10 UK) hosting 50 warehouses in total",,
Applicable Regulatory Authorities,"BIS, State Fire & Emergency Services Dept (India), Factories & Boilers Inspectorate (India), CPCB/SPCB, PESO, HSE (UK), Local Fire and Rescue Authority (UK), Environment Agency (UK)",,
Applicable Regulations,"National Building Code of India Part 4 (Fire & Life Safety), State Fire NOC Rules, Factories Act 1948, Hazardous Waste Rules 2016, Solid Waste Management Rules 2016, Petroleum/Pressure Vessel Rules, Regulatory Reform (Fire Safety) Order 2005, Building Regulations 2010 Approved Document B, Health and Safety at Work etc. Act 1974, COMAH Regulations 2015, Environmental Permitting Regulations 2016",,
Applicable Standards,"ISO 45001:2018, ISO 14001:2015, ISO 41001:2018, ISO 31000:2018, ISO 22301:2019, ISO 9001:2015, NFPA 25, NFPA 72, BS 9999:2017, IS 3844 / SP 7 (NBC)",,
Business Units,"EHS, Facilities Management, Compliance, Risk & Insurance, Warehouse Operations, Security",,
Organization Structure,Company -> Business Unit -> Department -> Role,,
Spatial Hierarchy,Company -> Site (Industrial Park) -> Building (Warehouse) -> Floor -> Zone -> Room -> Process -> Asset -> Equipment,,
Compliance Pillars,"EHS, Fire & Life Safety (FIRe), Facilities Management (FM), Hazard Management, Waste Management, plus Insurance Risk Mitigation as a cross-cutting pillar",,
Compliance Areas,Fire Detection & Alarm Systems; Fire Suppression Systems; Emergency Preparedness & Response; Occupational Health & Safety (EHS); Hazardous Materials & Chemical Safety; Waste Management; Facilities & Asset Maintenance (FM); Environmental Compliance; Hazard & Risk Assessment; Insurance Compliance & Risk Mitigation,,
Regulatory Scope Note,"Building/fire safety codes scoped to India (NBC Part 4, State Fire NOC, IS 3844) and UK (RRFSO 2005, Building Regs Approved Doc B, BS 9999); ISO management-system standards applied network-wide; fire suppression assets tracked with SLA/checks/SOP/vendor (AMC) linkage; emergency response and insurance risk-mitigation clauses/premium stipulations tracked as first-class compliance domains.",,
Operational Controls (count),30,,
Output Scale - Tasks,60,,
Output Scale - Controls,30,,
Output Scale - Compliance Areas,10,,
Output Scale - Business Units,6,,
Output Scale - Sites (Industrial Parks),20,,
Output Scale - Buildings (Warehouses),50,,
Output Scale - Roles,16,,
Output Scale - Vendors (AMC/Service),12,,
Output Scale - Insurance Risk Clauses,15,,
Calendar Duration,52 weeks,,
Generated On,2026-07-16,,
,,,
Data Volume Calibration (ratios applied),,,
Entity,Default Ratio to Controls,Generated Count,Notes
Obligations,~1.1 per Control,34,A control may satisfy more than one obligation; 4 obligations are general/contextual
Clauses,1.0 per Obligation,34,One primary clause per obligation
Tasks,2 per Control,60,Two frequency variants generated per control
Checklists / Templates,2 per Compliance Area,20,"One primary + one specific checklist per compliance area, reused across tasks"
Roles,"~50% of Compliance Areas x 1.6, min 8",16,Roles are shared across tasks and sites
Sites x Buildings x Assets,20 sites / 50 warehouses / 31 asset types,20 sites / 50 buildings / 31 assets,Each task resolves to >=1 concrete Site/Building/Asset pair
Vendors,Illustrative AMC/service coverage,12,One vendor entry may cover multiple sites/countries
Insurance Risk Clauses,Illustrative warranty/clause set,15,Each linked to a Risk and a Control for premium-impact traceability


--- WORKSHEET: 02_Regulatory_Authorities ---

AuthorityID,Name,Abbreviation,Jurisdiction,Type,Description
TSK-0026,Condition Based,Triggered,Condition Based per Calendar Generation Algorithm,N/A (condition/event driven),Triggered when a monitored condition breaches a defined threshold,5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0027,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 27,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0028,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 30,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0029,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Week 33,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0030,Hourly,Fixed,Hourly per Calendar Generation Algorithm,Week 36,N/A (fixed calendar schedule),24 hours,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0031,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 39,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0032,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 42,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0033,Daily,Fixed,Daily per Calendar Generation Algorithm,Week 45,N/A (fixed calendar schedule),24 hours,Escalate to Facilities Manager if overdue by SLA window
TSK-0034,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Week 48,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0035,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 51,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0036,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 02,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0037,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 05,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0038,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 08,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0039,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 11,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0040,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 14,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0041,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 17,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0042,Annual,Fixed,Annual per Calendar Generation Algorithm,Week 20,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0043,Weekly,Fixed,Weekly per Calendar Generation Algorithm,Week 23,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0044,Monthly,Fixed,Monthly per Calendar Generation Algorithm,Week 26,N/A (fixed calendar schedule),5 business days,Escalate to Facilities Manager if overdue by SLA window
TSK-0045,Fortnightly,Fixed,Fortnightly per Calendar Generation Algorithm,Week 29,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0046,Sensor Triggered,Triggered,Sensor Triggered per Calendar Generation Algorithm,N/A (condition/event driven),Triggered by IoT sensor reading (pressure/temperature/flow) outside setpoint range,5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0047,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 35,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0048,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 38,N/A (fixed calendar schedule),5 business days,Escalate to EHS Manager (Regional) if overdue by SLA window
TSK-0049,Annual,Fixed,Annual per Calendar Generation Algorithm,Week 41,N/A (fixed calendar schedule),5 business days,Escalate to Regional Compliance Head if overdue by SLA window
TSK-0050,Risk Triggered,Triggered,Risk Triggered per Calendar Generation Algorithm,N/A (condition/event driven),Triggered by an elevated entry in the Risk Register (Worksheet 17),5 business days,Escalate to Regional Compliance Head if overdue by SLA window
TSK-0051,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 47,N/A (fixed calendar schedule),5 business days,Escalate to Regional Compliance Head if overdue by SLA window
TSK-0052,Annual,Fixed,Annual per Calendar Generation Algorithm,Week 50,N/A (fixed calendar schedule),5 business days,Escalate to Regional Compliance Head if overdue by SLA window
TSK-0053,Event Based,Triggered,Event Based per Calendar Generation Algorithm,N/A (condition/event driven),Triggered on scheduled maintenance/operational event completion,5 business days,Escalate to Regional Compliance Head if overdue by SLA window
TSK-0054,AI Triggered,Triggered,AI Triggered per Calendar Generation Algorithm,N/A (condition/event driven),Triggered by AI/ML anomaly detection on the compliance knowledge graph,5 business days,Escalate to Regional Compliance Head if overdue by SLA window
TSK-0055,Half-Yearly,Fixed,Half-Yearly per Calendar Generation Algorithm,Week 07,N/A (fixed calendar schedule),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window
TSK-0056,Annual,Fixed,Annual per Calendar Generation Algorithm,Week 10,N/A (fixed calendar schedule),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window
TSK-0057,Annual,Fixed,Annual per Calendar Generation Algorithm,Week 13,N/A (fixed calendar schedule),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window
TSK-0058,Condition Based,Triggered,Condition Based per Calendar Generation Algorithm,N/A (condition/event driven),Triggered when a monitored condition breaches a defined threshold,5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window
TSK-0059,Quarterly,Fixed,Quarterly per Calendar Generation Algorithm,Week 19,N/A (fixed calendar schedule),5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window
TSK-0060,Condition Based,Triggered,Condition Based per Calendar Generation Algorithm,N/A (condition/event driven),Triggered when a monitored condition breaches a defined threshold,5 business days,Escalate to Insurance & Risk Compliance Manager if overdue by SLA window


--- WORKSHEET: 14_52Wk_Calendar ---

TaskID,Task Name,Frequency,Week01,Week02,Week03,Week04,Week05,Week06,Week07,Week08,Week09,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
TSK-0001,Smoke & Heat Detector Functional Test - Monthly Check,Monthly,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,
TSK-0002,Smoke & Heat Detector Functional Test - Quarterly Check,Quarterly,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,
TSK-0003,Fire Alarm Panel & Zone Verification - Weekly Check,Weekly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0004,Fire Alarm Panel & Zone Verification - Monthly Check,Monthly,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,
TSK-0005,PA / Voice Evacuation System Test - Quarterly Check,Quarterly,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y
TSK-0006,PA / Voice Evacuation System Test - Half-Yearly Check,Half-Yearly,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,
TSK-0007,Fire Hydrant System Pressure Test - Monthly Check,Monthly,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,
TSK-0008,Fire Hydrant System Pressure Test - Sensor Triggered Check,Sensor Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0009,Sprinkler Riser & ESFR Head Inspection - Quarterly Check,Quarterly,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,
TSK-0010,Sprinkler Riser & ESFR Head Inspection - Half-Yearly Check,Half-Yearly,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
TSK-0011,Fire Extinguisher Inspection & Recharge Check - Monthly Check,Monthly,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,
TSK-0012,Fire Extinguisher Inspection & Recharge Check - Quarterly Check,Quarterly,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,
TSK-0013,Fire Pump House Operational Test - Weekly Check,Weekly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0014,Fire Pump House Operational Test - Monthly Check,Monthly,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y
TSK-0015,Fire & Emergency Evacuation Drill - Half-Yearly Check,Half-Yearly,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
TSK-0016,Fire & Emergency Evacuation Drill - Annual Check,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,
TSK-0017,Emergency Response Team Readiness Check - Quarterly Check,Quarterly,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,
TSK-0018,Emergency Response Team Readiness Check - Half-Yearly Check,Half-Yearly,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y
TSK-0019,Mock Drill - Mutual Aid & External Agency Coordination - Annual Check,Annual,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK-0020,Mock Drill - Mutual Aid & External Agency Coordination - Event Based Check,Event Based,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0021,PPE Compliance Inspection - Weekly Check,Weekly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0022,PPE Compliance Inspection - Monthly Check,Monthly,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y
TSK-0023,MHE / Forklift Safety Inspection - Daily Check,Daily,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0024,MHE / Forklift Safety Inspection - Weekly Check,Weekly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0025,Permit-to-Work & Hot Work Compliance Check - Event Based Check,Event Based,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0026,Permit-to-Work & Hot Work Compliance Check - Condition Based Check,Condition Based,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0027,Hazardous Chemical Storage Compliance Check - Monthly Check,Monthly,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,
TSK-0028,Hazardous Chemical Storage Compliance Check - Quarterly Check,Quarterly,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,
TSK-0029,Battery Charging Area Safety Inspection - Weekly Check,Weekly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0030,Battery Charging Area Safety Inspection - Hourly Check,Hourly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0031,Spill Kit & Chemical Spill Response Readiness Check - Monthly Check,Monthly,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,
TSK-0032,Spill Kit & Chemical Spill Response Readiness Check - Quarterly Check,Quarterly,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,
TSK-0033,Waste Segregation & Storage Verification - Daily Check,Daily,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0034,Waste Segregation & Storage Verification - Weekly Check,Weekly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0035,Hazardous Waste Disposal & Manifest Verification - Monthly Check,Monthly,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,
TSK-0036,Hazardous Waste Disposal & Manifest Verification - Quarterly Check,Quarterly,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,
TSK-0037,Electrical Panel & Transformer Preventive Maintenance - Quarterly Check,Quarterly,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,
TSK-0038,Electrical Panel & Transformer Preventive Maintenance - Half-Yearly Check,Half-Yearly,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,
TSK-0039,HVAC / Ventilation System Preventive Maintenance - Monthly Check,Monthly,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,
TSK-0040,HVAC / Ventilation System Preventive Maintenance - Quarterly Check,Quarterly,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,
TSK-0041,Racking System Structural Safety Inspection - Quarterly Check,Quarterly,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,
TSK-0042,Racking System Structural Safety Inspection - Annual Check,Annual,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK-0043,Diesel Generator (DG) Set Operational Test - Weekly Check,Weekly,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
TSK-0044,Diesel Generator (DG) Set Operational Test - Monthly Check,Monthly,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,,,Y,,
TSK-0045,Effluent / STP Discharge Quality Testing - Fortnightly Check,Fortnightly,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,,Y,
TSK-0046,Effluent / STP Discharge Quality Testing - Sensor Triggered Check,Sensor Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0047,Air Emission & DG Stack Monitoring - Quarterly Check,Quarterly,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,Y,,,,
TSK-0048,Air Emission & DG Stack Monitoring - Half-Yearly Check,Half-Yearly,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
TSK-0049,Fire Risk Assessment Review - Annual Check,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,
TSK-0050,Fire Risk Assessment Review - Risk Triggered Check,Risk Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0051,Internal Audit & Management Review - Half-Yearly Check,Half-Yearly,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,
TSK-0052,Internal Audit & Management Review - Annual Check,Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
TSK-0053,Incident Investigation & CAPA Closure Verification - Event Based Check,Event Based,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0054,Incident Investigation & CAPA Closure Verification - AI Triggered Check,AI Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered,Triggered
TSK-0055,Insurance Warranty Clause Compliance Check - Half-Yearly Check,Half-Yearly,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,
TSK-0056,Insurance Warranty Clause Compliance Check - Annual Check,Annual,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSK-0057,Fire NOC / Statutory Certificate Renewal Tracking - Annual Check,Annual,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
